NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
ABB,DMADMA (Reverse) | DMADMA (No SL),0.0,7253.0,0.0,-0.3927593587198841,0.0,55.40764833964946,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,11680.92 | 7708.49,3047.56,
ABCAPITAL,ETF Shop Method,0.0,363.3,3.360041748287924e-06,-0.4265306444046315,0.0,45.13250554856755,25,Buy,,,-76.19312853736673
ABFRL,ETF Shop Method,0.0,64.61,-9.446704183603522e-07,-0.5367889853538258,0.0,45.12694739342352,25,Buy,,,-95.41199549096658
ADANIENSOL,ETF Shop Method,0.0,1513.3,-3.2265990530619783e-06,-0.1192071476201551,0.0,45.7524958256674,25,Buy,,,-22.658823493784983
ADANIGREEN,ETF Shop Method,0.0,1475.4,-1.6547419008445716e-06,-0.1152711463146979,0.0,45.49506636922567,25,Buy,,,-24.407270305234977
ADANIPORTS,ETF Shop Method,0.0,1804.6,1.3528794602318169e-06,-0.018139264677432,0.0,44.95543521537867,25,Buy,,,-14.154964417551488
ADANIPOWER,ETF Shop Method,0.0,243.37,2.006332991951741e-06,-0.4741940444735435,0.0,45.161318818624935,25,Buy,,,-83.50875232404597
AGIIL,ETF Shop Method,0.0,361.8,3.373972270102414e-06,-0.4185428817762442,0.0,45.12106891924382,30,Buy,,,-76.37108756818193
AMBUJACEM,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),0.0,447.85,399.9999931857591,1.246425909720693,0.0,51.59748599518652,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1178.75 | 935.12 | 475.97,368.18 | 282.23,
ANGELONE,ETF Shop Method,0.0,337.3,3.619042900428812e-06,-0.433208886085331,0.0,45.11820403838052,25,Buy,,,-77.77195663596314
APLAPOLLO,ETF Shop Method,0.0,1831.1,1.3333003514042548e-06,0.0071455043724897,0.0,44.29823339593735,30,Buy,,,-13.918492299365004
APOLLO,ETF Shop Method,0.0,409.0,0.0,-0.4179881285019134,0.0,45.24332854257324,30,Buy,,,-73.4148870396376
APOLLOHOSP,DMADMA (No SL),0.0,8176.5,-1.1604714415231188,-1.163124443138019,0.0,58.480440540611575,95,50 DMA Breakout | CMP > 200 DMA,8689.98,,
ARE&M,ETF Shop Method,0.0,886.1,2.755226633043688e-06,-0.2615979838911386,0.0,45.26686773565171,30,Buy,,,-48.706519879210695
ASHOKLEY,DMADMA (Reverse),0.0,155.44,899.9999842935781,0.9217621686741108,0.0,50.17879648680221,80,150 DMA Breakout | CMP > 200 DMA,384.63,119.35,
ASIANPAINT,RDX Indicator | DMADMA (Reverse),0.0,2671.6,-0.0112279651184618,-0.2861608060415631,0.0,67.21257898961524,95,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA,2798.93,2576.1 | 2563.59,
ASTRAMICRO,ETF Shop Method,0.0,1401.7,3.483493382778001e-06,-0.1635124060147707,0.0,46.01396922455001,30,Buy,,,-26.12814388576861
ATGL,ETF Shop Method,0.0,773.3,1.5785634808251652e-06,-0.3237689836761784,0.0,45.535387869047824,30,Buy,,,-53.51577163722583
ATHERENERG,ETF Shop Method,0.0,964.1,2.5323164755708634e-06,-0.2432138434705942,0.0,45.35563777955704,30,Buy,,,-45.03491251238787
