इस शीट में दिनांक 26 March 2024 को ईटीएफ की लिस्ट अपडेट कर दी है। कहीं कहीं यदि गूगल फायनेंस की गणना में त्रुटि से #N/A लिखा आ रहा हो तो भी फार्मुले में IFNA जोड़ दिया है जिससे फार्मुला #N/A वाले ईटीएफ को ईगनोर करके बाकी की रेंक निकाल लेगा इसलिये कहीं कहीं #N/A लिखा दिखे तो घबरायें नहीं आप रेंक के कॉलम में देखेंगें तो रेंक सही दिखेगी। NA का कारण आईसीआईसीआई के कोड चेंज होना है उनमें गूगल फायनेंस 20 डीएमए की गणना नहीं कर पा रहा है परन्तु 20 दिनों के बाद हो सकता है ये प्रोब्लम स्वतः ठीक हो जाये I,,,,,,,,
ETF NSE Code,Underlying Asset,CMP,20 DMA,CMP-20 DMA,% Change 20 DMA Vs CMP,Today Buy,,
NSE:ABSLBANETF,Nifty Bank,56.44,55.71,0.73,1.3167,Rank,% from 20 DMA,ETF Code
NSE:ABSLNN50ET,Nifty Next 50,75.15,73.59,1.56,2.1185,#1,-2.3325,NSE:CPSEETF
NSE:ALPHA,NIFTY Alpha 50 Index,51.17,49.79,1.38,2.7789,#2,-1.5886,NSE:HNGSNGBEES
NSE:ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,26.27,25.51,0.76,2.9712,#3,-1.4771,NSE:MOVALUE
NSE:ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,26.89,26.69,0.20,0.7399,,,
NSE:AUTOBEES,Nifty Auto TRI,273.94,269.33,4.61,1.7118,,Your Total Fund Vs Daily investmet,
NSE:AUTOIETF,Nifty Auto Index,27.46,27.00,0.46,1.6981,,Total Fund,Daily Buy
NSE:AXISGOLD,Gold,130.4,127.81,2.59,2.0233,,100000,1667
NSE:AXISILVER,Axis Silver ETF,259.5,254.60,4.91,1.9266,,200000,3333
NSE:AXISNIFTY,Nifty 50,263.72,262.65,1.07,0.4078,,300000,5000
NSE:AXISTECETF,NIFTY IT Index,318.89,317.14,1.75,0.5523,,400000,6667
NSE:BANKBEES,Nifty Bank,568.92,562.76,6.16,1.0943,,500000,8333
NSE:BANKBETF,Bajaj Finserv Nifty Bank ETF,55.95,55.25,0.70,1.2661,,600000,10000
NSE:BANKIETF,Nifty Bank,56.43,55.80,0.63,1.1327,,700000,11667
NSE:BANKNIFTY1,Nifty Bank,56.97,56.39,0.58,1.0214,,800000,13333
NSE:BFSI,Nifty Financial Services Index,26.81,26.55,0.26,0.9660,,900000,15000
NSE:BSE500IETF,S&P BSE 500 index,38.74,38.32,0.42,1.0868,,1000000,16667
NSE:BSLGOLDETF,Gold,137.51,134.87,2.64,1.9556,,,
NSE:BSLNIFTY,Nifty 50,27.92,27.81,0.11,0.3847,Watch these videos for more details:-,,
NSE:COMMOIETF,ICICI Prudential Nifty Commodities ETF,106.93,104.69,2.24,2.1357,Part 1,https://www.youtube.com/watch?v=IN0IH_S3d7k,
NSE:CONSUMBEES,Nifty India Consumption TRI,127.15,126.54,0.61,0.4801,Part 2,https://www.youtube.com/watch?v=1UJNwvBNKXk,
NSE:CONSUMIETF,Nifty India Consumption Index,118.32,117.74,0.58,0.4952,Raw sheet link for copy with formulas:-,,
NSE:CPSEETF,CPSE ETF,103.51,105.98,-2.47,-2.3325,https://docs.google.com/spreadsheets/d/1kkHSzLUBgfVKHWYoOtRWn1S8yWrsb4XvBx-JxPpgiOs/edit?usp=sharing,,
NSE:DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,78.48,78.71,-0.23,-0.2960,,,
NSE:EQUAL50ADD,NIFTY 50 Equal Weight Index,341.7,336.99,4.71,1.3963,,,
NSE:FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,32.61,32.10,0.51,1.5809,,,
NSE:FMCGIETF,Nifty FMCG Index,53.7,54.40,-0.70,-1.2904,,,
NSE:GOLDBEES,Gold,129.39,126.88,2.51,1.9754,,,
NSE:GOLDCASE,Zerodha Gold ETF,24.64,24.15,0.49,2.0290,,,
NSE:GOLDETF,Mirae Asset Gold ETF,151.95,148.95,3.00,2.0127,,,
NSE:GOLDETFADD,DSP Gold ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:GOLDIETF,Gold,133.88,131.37,2.51,1.9083,,,
NSE:GOLDSHARE,Gold,#N/A,#N/A,#N/A,#N/A,,,
NSE:HDFCBSE500,HDFC S&P BSE 500 ETF,36.88,36.40,0.48,1.3215,,,
NSE:HDFCGOLD,Gold,133.65,131.06,2.59,1.9758,,,
NSE:HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,20.26,20.14,0.12,0.5858,,,
NSE:HDFCMID150,HDFC NIFTY Midcap 150 ETF,23.17,22.63,0.54,2.4066,,,
NSE:HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,31.12,30.64,0.48,1.5600,,,
NSE:HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,73,71.54,1.46,2.0430,,,
NSE:HDFCNIF100,HDFC NIFTY 100 ETF,25.74,25.57,0.17,0.6826,,,
NSE:HDFCNIFBAN,Nifty Bank,56.5,55.94,0.56,1.0020,,,
NSE:HDFCNIFIT,HDFC NIFTY IT ETF,30.84,30.70,0.14,0.4429,,,
NSE:HDFCNIFTY,Nifty 50,268.18,267.44,0.74,0.2776,,,
NSE:HDFCPSUBK,HDFC NIFTY PSU BANK ETF,83.47,83.41,0.06,0.0767,,,
NSE:HDFCPVTBAN,HDFC NIFTY Private Bank ETF,27.21,26.76,0.45,1.6664,,,
NSE:HDFCSENSEX,SENSEX,85.86,85.91,-0.05,-0.0582,,,
NSE:HDFCSILVER,HDFC Silver ETF,250.72,245.28,5.44,2.2200,,,
NSE:HDFCSML250,HDFC NIFTY Smallcap 250 ETF,172.11,169.98,2.13,1.2513,,,
NSE:HEALTHIETF,Nifty Healthcare Index,160.6,158.43,2.17,1.3691,,,
NSE:HEALTHY,Nifty Healthcare TRI,16.11,15.87,0.24,1.4995,,,
NSE:HNGSNGBEES,Hang Seng Index,525.34,533.82,-8.48,-1.5886,,,
NSE:ICICIB22,S&P BSE BHARAT 22 index,121.96,122.38,-0.42,-0.3448,,,
NSE:INFRABEES,Nifty Infra,975.79,966.43,9.36,0.9685,,,
NSE:INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,97.15,96.32,0.83,0.8591,,,
NSE:IT,NIFTY IT Index,32.08,31.85,0.23,0.7269,,,
NSE:ITBEES,Nifty IT TRI,32.13,31.91,0.22,0.6847,,,
NSE:ITETF,Mirae Asset Nifty IT ETF,30.6,30.41,0.19,0.6331,,,
NSE:ITETFADD,DSP Nifty IT ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:ITIETF,Nifty IT Index,32.16,31.91,0.26,0.7992,,,
NSE:JUNIORBEES,Nifty Next 50,771.04,756.41,14.63,1.9337,,,
NSE:KOTAKGOLD,Gold,#N/A,#N/A,#N/A,#N/A,,,
NSE:KOTAKSILVE,Kotak Silver ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:LOWVOLIETF,Nifty 100 Low Volatility 30 Index,21.7,21.57,0.13,0.5934,,,
NSE:MAFANG,NYSE FANG+ Total Return Index,194.66,189.94,4.72,2.4836,,,
NSE:MAHKTECH,Hang Seng TECH Total Return Index,23.91,24.21,-0.29,-1.2188,,,
NSE:MAKEINDIA,Nifty India Manufacturing Total Return Index,163.42,159.93,3.49,2.1854,,,
NSE:MASPTOP50,S&P 500 Top 50 Total Return Index,82,80.03,1.97,2.4577,,,
NSE:MID150BEES,Nifty Midcap 150 TRI,236.08,231.10,4.98,2.1549,,,
NSE:MIDCAP,Nifty Midcap 50 Index,18.17,17.68,0.49,2.7947,,,
NSE:MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,23.37,22.84,0.53,2.3295,,,
NSE:MIDCAPIETF,Nifty Midcap 150,23.64,23.13,0.51,2.1917,,,
NSE:MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,247.71,242.59,5.12,2.1097,,,
NSE:MIDSELIETF,S&P BSE Midcap Select Index,18.59,18.15,0.44,2.4525,,,
NSE:MNC,Kotak Nifty MNC ETF,33.24,32.90,0.34,1.0426,,,
NSE:MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,47.98,46.96,1.02,2.1666,,,
