,CMP,55 Day High,52 Weeks High,"52 Weeks 
High Date",52 Weeks Low,"52 Weeks 
Low Date",20 Day Low,% Diffarance between CMP and 55 Day High,Output for GTT order starting
NSE:GOLDBEES,129.36,137.3,148.14,29/01/2026,77.38,30/05/2025,121.4,6.137909709,No need to fresh start
NSE:CPSEETF,103.49,110.5,110.50,04/05/2026,85.67,29/08/2025,101.85,6.773601314,No need to fresh start
NSE:NIFTYBEES,271.29,292.42,302.25,09/12/2025,251.70,02/04/2026,263.53,7.788713185,No need to fresh start
NSE:NETFIT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:ICICIGOLD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:BANKBEES,569.07,611.75,638.99,19/02/2026,515.98,02/04/2026,545.95,7.499956069,No need to fresh start
NSE:SETFNIFBK,564,607.02,646.11,19/02/2026,465.64,15/10/2025,541.11,7.627659574,No need to fresh start
NSE:SETFNIF50,256.49,270.01,287.33,06/01/2026,237.90,02/04/2026,248.62,5.271160669,No need to fresh start
NSE:ICICIB22,122,131,131.00,02/03/2026,103.60,29/08/2025,119,7.37704918,No need to fresh start
NSE:PSUBNKBEES,92.02,107.1,110.40,25/02/2026,73.82,04/08/2025,86.7,16.3877418,No need to fresh start
NSE:KOTAKBKETF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:MON100,328.74,332.13,332.13,22/05/2026,176.11,28/05/2025,297.02,1.031210075,No need to fresh start
NSE:ICICINIFTY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:NETFMID150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:MOM100,67.3,69.2,69.20,09/03/2026,56.15,02/04/2026,63.8,2.823179792,No need to fresh start
NSE:KOTAKNIFTY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:AXISGOLD,130.27,144.29,150.00,29/01/2026,79.00,09/06/2025,119.34,10.76226299,No need to fresh start
NSE:JUNIORBEES,770.77,777.3,777.30,07/05/2026,632.34,01/04/2026,728.65,0.8472047433,No need to fresh start
NSE:KOTAKGOLD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:ICICIBANKP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:ICICITECH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:ICICIBANKN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NSE:ICICINXT50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
